MOM_ID	SAS_ID	PROJECT	OBSERVATION_TYPE	SUCCESSOR_MOM_ID	SUCCESSOR_SAS_ID	SUCCESSOR_TYPE	STORAGE_MANAGER	SPACE_USED	RA	DEC	SAPS	CHANNELWIDTH	CLOCK	TIME_RES	MAX_EXPOSURE	MIN_EXPOSURE	ANTENNA_SET	NR_STATIONS	NR_INT_STATIONS	NR_CORRELATED	Size dysco compr [TB]	Expected compression time if LBA per subband	Expected compression time if HBA per subband	Expected compression time per dataset
527650	347236	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,7868918784	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2045918884	239,8	839,3	86,02825
527653	347240	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,058063616	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,01509654016	17,6	61,6	6,314
527656	347244	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527659	347248	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527662	347252	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527665	347256	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527668	347260	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,795515351	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2068339913	239,8	839,3	86,02825
527671	347264	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0585408512	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,01522062131	17,6	61,6	6,314
527674	347268	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,7912036147	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,2057129398	239,8	839,3	86,02825
527677	347272	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
527680	347276	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,4074590822	3,06E+02	3,39E+01	0	0	200	2,00278	1199	1199	HBA Dual Inner	35	0	369	0,1059393614	239,8	839,3	86,02825
527683	347280	DDT4_002	Beam Observation - 110-190 MHz				LofarStorageManager	0,0586999296	2,77E+02	4,87E+01	0	0	200	2,00278	88	88	HBA Dual Inner	35	0	369	0,0152619817	17,6	61,6	6,314
